                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8647,                 4.6312,                 3.6614,                0.32172,                0.39992,                0.33361,                0.14715,                  1.993,                 2.7464,                 2.9837,               0.070037,              0.0033292,              0.0033292
                      1,                 1.9813,                 2.7309,                 2.6991,                 0.6329,                0.69211,                0.74386,                0.42803,                  1.601,                 1.9482,                 2.4284,               0.039955,              0.0065801,              0.0065801
                      2,                 1.5755,                 1.8308,                 2.2055,                0.77299,                0.82696,                0.85838,                0.48738,                 1.4963,                 1.2525,                  2.174,              0.0097898,              0.0097485,              0.0097485
                      3,                 1.3452,                 1.3411,                  1.913,                0.97616,                0.97468,                0.98522,                0.73896,                0.96965,                0.64925,                 1.6268,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.2036,                 1.0514,                 1.7535,                0.97325,                 0.9846,                0.98913,                0.77257,                0.89497,                0.52007,                 1.5488,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.1073,                0.88129,                 1.6488,                 0.9868,                0.98894,                0.98989,                0.77768,                0.85721,                0.49136,                  1.479,               0.009505,               0.009505,               0.009505
                      6,                 1.0425,                0.78815,                   1.58,                0.98882,                 0.9834,                0.99224,                0.79367,                0.80696,                 0.4419,                 1.4577,              0.0093813,              0.0093813,              0.0093813
                      7,                0.99691,                0.73645,                 1.5405,                0.98627,                0.98768,                0.99127,                0.81117,                 0.7792,                0.41844,                 1.4256,              0.0092575,              0.0092575,              0.0092575
                      8,                0.95498,                0.68106,                 1.4966,                0.98154,                0.98896,                0.99205,                0.82702,                0.73991,                 0.4037,                 1.3738,              0.0091337,              0.0091337,              0.0091337
                      9,                0.91623,                0.63152,                 1.4638,                0.98376,                0.99114,                0.99279,                0.82867,                0.72209,                0.37382,                 1.3444,                0.00901,                0.00901,                0.00901
                     10,                0.89661,                0.60922,                 1.4392,                0.98835,                0.99456,                 0.9928,                0.84504,                0.67702,                0.36198,                 1.3274,              0.0088863,              0.0088863,              0.0088863
                     11,                0.87006,                0.57993,                 1.4189,                0.99536,                0.99383,                0.99391,                0.84647,                0.67418,                0.34515,                  1.313,              0.0087625,              0.0087625,              0.0087625
                     12,                0.85447,                0.56306,                 1.4017,                0.99341,                0.99478,                0.99421,                 0.8434,                 0.6627,                0.34825,                 1.2948,              0.0086388,              0.0086388,              0.0086388
                     13,                 0.8414,                0.54477,                 1.3901,                0.99361,                0.99462,                0.99396,                0.86244,                0.64277,                0.33806,                 1.2743,               0.008515,               0.008515,               0.008515
                     14,                0.81718,                0.51971,                 1.3689,                0.99467,                0.99266,                0.99067,                0.85065,                0.65221,                0.32065,                 1.2848,              0.0083913,              0.0083913,              0.0083913
                     15,                 0.8001,                0.50631,                 1.3524,                 0.9905,                0.99317,                0.99305,                0.86483,                0.62283,                0.31466,                 1.2568,              0.0082675,              0.0082675,              0.0082675
                     16,                0.78706,                0.48768,                  1.344,                0.99471,                0.99262,                 0.9942,                0.86327,                0.61835,                0.29583,                 1.2426,              0.0081437,              0.0081437,              0.0081437
                     17,                0.77576,                0.47993,                  1.333,                0.99152,                0.99676,                0.99409,                0.86777,                0.60929,                0.29753,                 1.2511,                0.00802,                0.00802,                0.00802
                     18,                0.75906,                0.46722,                 1.3186,                0.99461,                0.99611,                0.99368,                0.87957,                0.58402,                0.28558,                 1.2176,              0.0078963,              0.0078963,              0.0078963
                     19,                0.75651,                0.46245,                 1.3168,                0.99413,                0.99232,                0.99248,                0.87941,                 0.5863,                0.28601,                 1.2198,              0.0077725,              0.0077725,              0.0077725
                     20,                  0.738,                 0.4485,                 1.2983,                0.99287,                0.99519,                0.99395,                0.87298,                0.59968,                0.28397,                 1.2286,              0.0076488,              0.0076488,              0.0076488
                     21,                0.72996,                0.43912,                 1.2925,                0.99431,                0.99661,                 0.9932,                0.88478,                0.55977,                0.27044,                 1.1971,               0.007525,               0.007525,               0.007525
                     22,                0.72293,                0.43241,                  1.285,                0.99544,                0.99577,                0.99377,                 0.8835,                 0.5671,                0.26961,                 1.1964,              0.0074013,              0.0074013,              0.0074013
                     23,                 0.7174,                0.42908,                  1.281,                0.99467,                0.99611,                0.99415,                0.89235,                0.56178,                0.25787,                  1.189,              0.0072775,              0.0072775,              0.0072775
                     24,                0.70007,                0.41891,                 1.2692,                0.99505,                0.99161,                  0.993,                0.89053,                0.54968,                0.25715,                 1.1852,              0.0071538,              0.0071538,              0.0071538
                     25,                0.69472,                0.41186,                 1.2645,                0.99378,                0.99429,                0.99381,                0.88894,                0.55793,                0.25933,                 1.1831,                0.00703,                0.00703,                0.00703
                     26,                0.69079,                0.40712,                  1.258,                0.99552,                0.99219,                0.99321,                0.89112,                0.55127,                0.25504,                 1.1805,              0.0069063,              0.0069063,              0.0069063
