                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.881,                 4.5514,                 3.5703,                 0.2713,                0.31831,                0.25142,                 0.1126,                 2.0404,                 2.5017,                 2.9376,               0.070037,              0.0033292,              0.0033292
                      1,                 2.0657,                 2.8407,                 2.7065,                0.65854,                0.69926,                0.74802,                0.43097,                 1.6035,                 1.5263,                 2.3815,               0.039955,              0.0065801,              0.0065801
                      2,                 1.7254,                 2.0749,                 2.3066,                0.81366,                0.79787,                0.88436,                0.53765,                 1.3433,                 1.3175,                 2.0946,              0.0097898,              0.0097485,              0.0097485
                      3,                 1.5082,                 1.6023,                 2.0438,                 0.9265,                0.91136,                0.96636,                0.65619,                 1.1654,                0.94322,                 1.8289,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.3589,                 1.3079,                 1.8825,                0.95536,                0.97433,                 0.9846,                0.71488,                 1.0249,                0.70897,                 1.7036,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.2524,                 1.1033,                 1.7692,                0.97786,                0.95204,                0.98252,                0.73853,                 1.0014,                 0.6158,                 1.6336,               0.009505,               0.009505,               0.009505
                      6,                 1.1791,                0.98803,                 1.6927,                0.97361,                0.98375,                0.99216,                0.74908,                0.94366,                0.58197,                  1.601,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.1375,                0.91336,                 1.6583,                0.98955,                0.98593,                0.99238,                0.77491,                0.84173,                 0.5103,                 1.4984,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.0963,                0.85106,                 1.6099,                0.98331,                0.96906,                0.98859,                0.72476,                 1.0113,                0.57863,                 1.6335,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.0516,                0.79097,                 1.5716,                0.98919,                0.98585,                0.99274,                0.76372,                0.88346,                0.47777,                 1.5151,                0.00901,                0.00901,                0.00901
                     10,                 1.0185,                0.76089,                 1.5364,                0.98825,                0.98561,                0.99044,                 0.7816,                 0.8695,                0.47266,                 1.4687,              0.0088863,              0.0088863,              0.0088863
                     11,                0.99803,                0.72453,                 1.5169,                 0.9886,                0.99288,                0.99233,                0.81332,                0.75513,                0.42936,                 1.3827,              0.0087625,              0.0087625,              0.0087625
                     12,                 0.9745,                0.69484,                 1.4926,                 0.9905,                0.99528,                0.99339,                0.82888,                 0.7358,                0.40696,                  1.365,              0.0086388,              0.0086388,              0.0086388
                     13,                0.95945,                 0.6762,                 1.4827,                0.98764,                0.99193,                0.99329,                0.81714,                0.77187,                0.41328,                 1.3921,               0.008515,               0.008515,               0.008515
                     14,                0.94056,                0.65584,                 1.4629,                0.98901,                0.98964,                0.99302,                0.83143,                0.72887,                0.39226,                 1.3546,              0.0083913,              0.0083913,              0.0083913
                     15,                0.92278,                 0.6357,                 1.4453,                0.99459,                 0.9935,                0.99423,                0.82627,                 0.7388,                0.39364,                 1.3446,              0.0082675,              0.0082675,              0.0082675
                     16,                0.90826,                0.61209,                 1.4345,                0.99266,                0.99114,                0.99293,                0.84368,                0.70513,                 0.3665,                  1.318,              0.0081437,              0.0081437,              0.0081437
                     17,                0.89469,                0.60093,                 1.4236,                0.99143,                 0.9955,                 0.9925,                0.85266,                0.66379,                0.35573,                 1.2905,                0.00802,                0.00802,                0.00802
                     18,                0.87953,                0.58988,                 1.4067,                0.99171,                0.99219,                0.99322,                0.85206,                0.65881,                0.34759,                 1.2811,              0.0078963,              0.0078963,              0.0078963
                     19,                 0.8761,                 0.5819,                 1.3997,                0.99596,                0.99611,                0.99429,                 0.8483,                0.67208,                0.34012,                 1.2804,              0.0077725,              0.0077725,              0.0077725
