                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8539,                 4.4149,                 3.6035,                0.44266,                0.45398,                0.39364,                0.15677,                 2.1173,                 2.5324,                 3.0294,               0.070037,              0.0033292,              0.0033292
                      1,                 2.0161,                 2.7067,                 2.7448,                0.68315,                0.65521,                0.73632,                0.37418,                 1.7843,                 1.6522,                 2.5536,               0.039955,              0.0065801,              0.0065801
                      2,                 1.6299,                 1.9096,                 2.3031,                  0.841,                0.72074,                0.87114,                0.52997,                 1.3571,                 1.4111,                 2.0758,              0.0097898,              0.0097485,              0.0097485
                      3,                 1.4295,                 1.4791,                 2.0429,                0.96182,                0.96844,                0.98569,                0.70542,                 1.0778,                0.77518,                 1.7788,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.2823,                 1.1862,                 1.8739,                 0.9557,                0.97291,                0.98179,                0.69747,                 1.0466,                0.64436,                  1.725,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.1799,                0.99522,                 1.7433,                0.97104,                0.98616,                0.98139,                0.74966,                0.91288,                0.54016,                 1.5916,               0.009505,               0.009505,               0.009505
                      6,                 1.1113,                0.88546,                 1.6647,                0.97707,                0.98976,                0.99169,                0.77369,                0.88276,                0.48062,                 1.5538,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.0664,                0.81644,                 1.6194,                 0.9924,                0.98995,                0.99329,                0.78415,                0.84813,                0.45413,                 1.5009,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.0249,                0.76137,                 1.5725,                0.99225,                0.98932,                0.99109,                0.79116,                0.81204,                0.43442,                 1.4677,              0.0091337,              0.0091337,              0.0091337
                      9,                0.98455,                0.71002,                 1.5359,                0.97681,                0.99486,                0.99305,                0.82209,                0.74199,                 0.3948,                 1.3787,                0.00901,                0.00901,                0.00901
                     10,                0.95923,                0.67963,                 1.5054,                0.98863,                0.99456,                0.99269,                0.82252,                0.73544,                0.39793,                 1.3775,              0.0088863,              0.0088863,              0.0088863
                     11,                0.93687,                0.64978,                 1.4852,                0.99072,                0.99414,                0.99395,                0.81936,                0.74406,                0.38483,                 1.3927,              0.0087625,              0.0087625,              0.0087625
                     12,                0.91812,                0.62676,                 1.4632,                0.99357,                0.98898,                0.99331,                0.81949,                0.75921,                0.37858,                 1.3856,              0.0086388,              0.0086388,              0.0086388
                     13,                0.90291,                0.60614,                 1.4519,                0.99349,                0.99315,                0.99347,                0.83733,                 0.7169,                0.37568,                 1.3427,               0.008515,               0.008515,               0.008515
                     14,                0.88052,                0.58575,                  1.428,                0.99255,                0.99154,                0.99166,                0.84831,                0.67443,                0.35757,                  1.308,              0.0083913,              0.0083913,              0.0083913
                     15,                0.85954,                0.56965,                 1.4103,                0.99476,                0.99405,                0.99351,                0.84992,                0.66487,                 0.3409,                  1.299,              0.0082675,              0.0082675,              0.0082675
                     16,                0.84562,                0.55115,                 1.3987,                0.99546,                0.99409,                0.99324,                0.84932,                0.67188,                0.33998,                 1.3157,              0.0081437,              0.0081437,              0.0081437
                     17,                0.83416,                0.53605,                 1.3874,                0.99632,                0.99582,                0.99383,                0.85482,                0.64532,                0.33212,                 1.2806,                0.00802,                0.00802,                0.00802
                     18,                0.81918,                0.52722,                 1.3737,                0.99546,                 0.9909,                0.99258,                 0.8632,                0.63225,                0.31788,                 1.2803,              0.0078963,              0.0078963,              0.0078963
                     19,                  0.814,                0.52029,                 1.3686,                0.99432,                0.99391,                0.99354,                0.86581,                0.62211,                0.31046,                 1.2516,              0.0077725,              0.0077725,              0.0077725
                     20,                0.79753,                0.50457,                 1.3522,                0.99466,                0.99746,                0.99467,                0.86682,                0.63156,                0.31477,                 1.2713,              0.0076488,              0.0076488,              0.0076488
                     21,                0.78506,                0.49027,                 1.3398,                0.99527,                0.99597,                0.99462,                0.87637,                0.59881,                0.30376,                 1.2302,               0.007525,               0.007525,               0.007525
                     22,                0.77933,                0.48286,                 1.3366,                0.99303,                0.99415,                0.99362,                0.87341,                0.60216,                0.29426,                 1.2365,              0.0074013,              0.0074013,              0.0074013
                     23,                0.77266,                0.48331,                 1.3305,                0.99579,                0.99587,                0.99391,                0.87147,                0.61579,                0.29591,                 1.2539,              0.0072775,              0.0072775,              0.0072775
                     24,                0.75894,                0.46912,                 1.3225,                0.99445,                0.99414,                 0.9931,                0.87447,                0.59845,                 0.2943,                 1.2336,              0.0071538,              0.0071538,              0.0071538
                     25,                0.75391,                0.46188,                 1.3169,                 0.9948,                0.99441,                0.99389,                0.88173,                0.58685,                0.28526,                 1.2181,                0.00703,                0.00703,                0.00703
                     26,                0.74727,                0.45849,                 1.3086,                0.99261,                0.99518,                0.99345,                0.88009,                0.57153,                0.28101,                 1.2115,              0.0069063,              0.0069063,              0.0069063
                     27,                0.73521,                0.44734,                 1.2992,                0.99331,                0.99502,                0.99357,                0.88218,                0.57427,                0.28138,                 1.1951,              0.0067825,              0.0067825,              0.0067825
                     28,                0.73204,                0.44509,                 1.2963,                0.99538,                0.99611,                0.99371,                 0.8841,                0.57087,                0.27174,                 1.1995,              0.0066587,              0.0066587,              0.0066587
                     29,                0.73043,                0.44762,                 1.2934,                0.99425,                0.99643,                0.99427,                0.88835,                0.56718,                0.27325,                 1.1985,               0.006535,               0.006535,               0.006535
                     30,                0.71184,                0.43014,                 1.2793,                0.99448,                0.99679,                0.99369,                 0.8883,                0.55213,                0.27569,                 1.1891,              0.0064112,              0.0064112,              0.0064112
                     31,                0.70797,                0.42447,                 1.2751,                0.99493,                0.99565,                0.99287,                 0.8946,                0.54117,                 0.2563,                 1.1732,              0.0062875,              0.0062875,              0.0062875
                     32,                0.70861,                0.41917,                 1.2705,                0.99342,                0.99513,                0.99316,                0.88915,                 0.5551,                 0.2607,                 1.1821,              0.0061637,              0.0061637,              0.0061637
